,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019,DEC. 2019,JUN. 2020,DEC. 2020,JUN. 2021,DEC. 2021,JUN. 2022,DEC. 2022,JUN. 2023
Montenegro,,,,,,,0,,0,0,0,1314,,0.3,,20,,13,,0,,3,,12,,44,,,,18,,10,
Montserrat,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Morocco,368.7813818,241.5639324,163,228.272062,440,416,455,381,293,475,426,1011,1044,1085.1,2141,2267,2485,2336,2412,2427,2327,2250,2084,1945,2017,2334,2094,3294,3364,3386,2556,2408,2744
"Mozambique, Rep. of",3,1.1893122,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,73,,96,,121,,125,,,,139,,208,
Myanmar,,0,0,0,0,,0,0,0,0,0,21,,13.9,,0,,0,,0,,0,,0,,0,,,,0,,0,
Namibia,1,0.3964374,3,0.564333,1,2,3,3,4,1,167,130,129,92.3,152,169,132,294,346,350,347,446,411,455,379,327,236,248,195,125,103,110,246
"Nauru, Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Nepal,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Netherlands, The",149081.5275,138711,182193,202361.0353,191882,234065,235059,169342,232918,232885,241757,286054,323977.02,386448.7,412789.2,388031,457296,404133,408263,432952,497693,534442,528624,452853,532063,569940,549544,625067,714082,748105,552644,579906,653358
Netherlands Antilles,16046.12553,16268.14886,24737,30277.32115,47222,58173,89289,38474,57311,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,3,,0,
New Zealand,4129.168547,5796.44727,10558,12033.62441,11935,11372,9798,12240,15643,17296,18460,17967,16512.057,17552.2,21355.2,22294,18504,20395,21826,20222,21922,20469,22796,23787,25030,29209,27529,32654,30575,32765,25822,28375,25789
Nicaragua,22.08007946,8.789322557,1,38.017325,31,28,29,1,27,24,0,0,,0,,0,,0,,1,,1,,1,,1,,,,0,,0,
Niger,,0,0,0,0,,0,2,3,3,0,0,,,,0,,0,,0,,0,,1,,1,,,,1,,1,
Nigeria,,,,C ,0,0,0,,0,0,0,0,,,,3340,3152,2261,1584,1544,2252,4188,6088,4144,5973,4297,3131,3818,3496,4064,3076,3117,3557
Niue,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Norfolk Island,,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"North Macedonia, Republic of",33.92014127,34.97294712,42,40.379205,53,,0,0,1,13,8,14,,6.6,,208,,295,,385,,568,,537,,122,,,,314,,323,
Norway,14641.42468,12386,21243,30477.13978,36334,50573,67909,33349,52354,56074,62538,73282,73861.588,76844.1,81672.7,72895,65418,57893,55772,59174,63322,71188,68776,61139,71742,67353,61249,72714,86362,85739,77418,86499,75678
Oman,,,,C ,0,0,0,,0,0,0,0,,,,750,445,346,657,683,2083,1779,3129,3258,3014,3463,2527,3237,3982,4919,4282,4726,4786
Pakistan,180.3403929,226,133,146.618601,389,1026,1757,631,784,1174,917,1323,1225,1419.8,2200,2932,3404,2783,3014,3758,3740,3430,3113,2600,2138,2793,1691,1777,2156,2238,1511,935,887
"Palau, Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Panama,9955.87007,11732.77746,18648,24303.24023,26151,26069,29435,14814,20530,25609,20710,23336,23189,27871.6,26499.1,27154,26971,27240,24204,29348,33592,33929,31457,25123,28697,31122,24551,34603,41323,38863,27013,28677,41850
Papua New Guinea,155,154.610586,235,314.100929,782,1298,2429,1820,2802,1310,1355,1479,1551,1672,2172,1562,1519,1616,1642,1790,1736,1958,2336,1677,1838,1858,754,969,907,42,36,42,40
Paraguay,,0,0,0,0,,0,3,5,5,47,218,,393.2,,1044,,1028,,933,,1048,,1417,,1626,,,,2487,,2091,
Peru,1673.125086,2486,3999,3874.94146,4588,3763,4604,3576,4978,7576,8900,10830,10363,9478,10985,10437,10433,8709,10712,10253,11743,12940,12898,13284,15673,15233,16719,19316,18578,21069,18564,16431,17685
Philippines,4015.211125,4555,5046,5690.076568,7179,10989,14461,7097,9326,16532,17855,22416,23903.409,22158.8,24785.2,26842,27159,23207,26316,22749,25151,27545,22461,25616,28416,26224,23633,22904,21698,23275,18550,18129,18762
Pitcairn Islands,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Poland, Rep. of",3098.587915,3369,3481,5624.647297,7537,11816,13860,7841,13968,21810,24221,33665,29095,31585.1,33698,28136,26204,21599,21109,20003,25307,26669,22408,21707,20580,17113,13548,15642,15555,16668,13297,14766,19052
Portugal,4506.062212,4151,5276,6386.420314,6053,6485,8711,3822,6178,5991,4248,6425,8388,10686.6,12629.4,13282,13009,12405,12061,10624,11911,14924,13070,10696,11307,12898,12317,13022,11435,11603,12152,12464,12794
Puerto Rico,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,C ,0,0,0,,0,0,0,0,,,,6322,6063,5299,5990,6415,6811,7774,10653,13158,17895,17756,19875,19505,18695,24837,20443,18652,16917
Reunion,,0,,0,0,,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Romania,12.54003973,73.60157988,151,172.42905,251,381,622,151,184,211,1149,1987,3203.5894,3251.7,4502.4,4813,3692,3690,3720,3684,3929,4196,4533,4547,5719,5463,5920,8523,8071,8179,7152,7577,9384
Russian Federation,10207.7033,13301,21555,21314.47232,28764,48441,80919,24616,50814,62285,51334,66531,63626,70898.5,69372,40745,50072,39625,48934,61740,55027,69190,63257,56599,75034,83401,68791,72448,83423,83849,33233,29907,30526
Rwanda,,0,0,0,0,,0,0,0,0,0,0,,124.6,,92,,131,,116,,100,,109,,124,,,,138,,103,
Saint Helena,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Saint Pierre and Miquelon,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Samoa,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"San Marino, Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,1,,0,
"São Tomé and Príncipe, Dem. Rep. of",,,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Saudi Arabia,,,,C ,0,0,0,,0,0,0,0,,,,0,,9,,3907,,7823,,7584,,27965,,,,48381,,46831,
Senegal,,0,0,0,0,1,2,1,11,36,76,39,116,56.8,149,292,300,297,318,255,651,687,971,997,1006,1140,934,1038,949,1091,736,785,802
"Serbia, Rep. of",1.060004415,7.398111698,15,1.402848,108,205,0,,0,0,436,0,,2463.8,,2939,2977,3265,2672,2614,2853,2864,2657,2328,1969,2290,2109,2329,2600,2916,2199,1958,2417
Seychelles,,0.40993885,1,0,0,2,58,1,2,7,27,16,,21.5,,27,33,31,28,29,31,7,7,19,19,17,17,14,15,15,11,16,15
Sierra Leone,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Singapore,22817.606,19885,25001,29194.58762,36361,52731,64710,30481,52104,63908,59552,72896,82864.305,89054.9,93148.5,98045,109986,98913,111599,114964,151919,170700,83932,88738,104310,99007,81556,100079,104455,119597,94800,111225,113601
"Sint Maarten, Kingdom of the Netherlands",,,,,,,,,,0,0,0,,0,,50,,47,,0,,0,,0,,0,,,,56,,0,
Slovak Rep.,133.380543,100.8882322,88,190.137155,310,299,70,31,31,50,308,651,,484.4,,332,,345,,281,,386,,465,,525,,,,735,,655,
"Slovenia, Rep. of",13.54003973,45.22252268,87,36.686896,79,144,352,164,222,262,255,1359,2489,4011.9,5152.5,6183,5555,5156,3476,2157,1611,1705,1499,1634,1636,1690,1520,1572,1434,1458,886,844,894
Solomon Islands,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Somalia,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
South Africa,7860.924777,12168,17849,24646.92997,34212,42687,53141,32218,53519,77934,70511,85830,71351,76664.5,83618,83045,88722,62855,75347,78935,87742,115363,106613,91279,100064,84911,65204,76685,82621,69885,64607,64924,58881
"South Sudan, Rep. of",,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Spain,39922.21069,36419,51547,68904.96205,69821,110956,146413,93205,113469,87078,75689,98893,90612.096,132955,161642.1,132983,126285,115177,103572,112411,147028,158215,152836,138743,158449,162493,139688,163581,181462,171507,142529,142256,164511
Sri Lanka,157.9605121,108.9360361,88,79.23824,93,182,285,144,1025,1832,2011,2638,2917.0868,3359.4,3666,3929,3526,3391,3257,3868,4270,4461,4505,3660,4164,3703,2364,1828,1984,1453,826,860,1209
St. Kitts and Nevis,,0,0,0,3,3,0,0,0,0,0,0,,0.1,,0,,0,,0,,0,,0,,0,,,,11,,0,
St. Lucia,,0,,48.702971,98,66,62,37,15,19,43,18,18,13.9,7,11,6,9,0,0,0,0,0,0,0,0,0,0,102,11,46,21,34
St. Vincent and the Grenadines,,0,,0,0,,0,10,10,1,1,1,,0.8,,2,,1,,0,,0,,0,,0,,,,0,,0,
Sudan,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Suriname,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,257,,188,,124,,110,,,,233,,304,
Sweden,36830.27887,35450,45257,62398.2492,74619,102067,112057,59359,75744,122100,115419,121567,146965.02,164525.7,191449.4,164729,158788,137502,139143,134131,164995,172330,177259,144435,165077,155407,159429,205020,243435,263796,184770,179572,191171
Switzerland,76627.4432,85754,119715,142012.5555,196138,264243,287675,218388,305011,327036,292025,333492,393253.77,442517,475812.3,423864,452605,419714,434395,421007,486269,505951,490297,458052,567495,596729,571769,632833,684759,742256,598169,591176,631118
Syrian Arab Rep.,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Taiwan Province of China,19860.34106,7263,27230,34886.63784,57877,74448,81192,41418,76858,94656,72146,87640,93320,98141.6,115641,114402,126934,107699,120029,130336,165509,177729,169948,158103,169705,214872,205687,303350,351297,370725,256332,231937,293592
"Tajikistan, Rep. of",,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,47,,24,,32,,,,31,,33,
"Tanzania, United Rep. of",7,3.040659109,0,0,0,,0,0,0,0,0,0,,195.6,,249,246,289,350,375,370,315,308,304,295,297,31,31,34,29,60,59,58
Thailand,2698.283258,3263,7339,7112.711498,10537,13046,16842,7619,14222,23034,23167,36732,38643.716,32696.4,36178.2,37650,37462,29764,34692,37323,43356,51055,43578,40760,49669,44373,33129,34908,35450,36107,35465,38780,34928
"Timor-Leste, Dem. Rep. of",,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,0,
Togo,,0,,0,0,,0,2,1,8,2,0,,17,,51,56,136,19,52,25,27,26,31,32,44,130,150,70,72,82,57,53
Tokelau,,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Tonga,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Trinidad and Tobago,494.5812935,484.864315,632,503.18995,516,711,1472,1121,1403,1175,1146,1160,1072,1058.3,1042,900,758,720,620,810,712,677,926,761,847,733,708,753,738,715,607,613,525
Tunisia,168.3006843,666.9092147,1280,587.92807,639,608,501,407,463,560,446,462,524,562.5,641,953,1084,1216,1487,1780,1974,1842,1899,1978,2062,1666,1715,1609,1648,643,455,580,479
Türkiye,3539.105231,2617,5716,8224.458955,14200,15284,25086,15850,28526,40088,28684,50124,46616.013,38597.3,45678,47533,42223,33510,36816,29666,38472,39814,30593,27911,26972,28314,22124,23864,20149,19383,13926,20098,18290
Turkmenistan,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Turks and Caicos Islands,32,34.60184707,57,0,0,,0,0,0,1,119,121,112,107.8,117,416,408,407,304,325,46,43,47,42,47,43,55,47,46,41,49,141,74
Tuvalu,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Uganda,5,2.011913876,0,0,0,,1,2,6,0,17,54,163.48034,42.9,202.7,252,148,147,144,41,100,43,54,35,67,60,53,54,95,272,207,164,135
Ukraine,203.4008388,370.2519715,603,1551.851913,1276,1507,2138,931,960,1789,3120,5740,5716,6483.3,7394,4762,4786,6985,7494,8373,7809,8978,7834,7620,8137,10232,8955,8455,8034,6371,1912,1275,1456
United Arab Emirates,,,,C ,0,0,0,,0,0,0,0,,,,9196,10326,9094,10379,10891,13161,18801,17462,19167,20093,19550,20216,22149,26351,30267,28074,28505,27666
United Kingdom,512974.7368,494639,663120,737754.2571,814784,1075579,1142380,647361,958256,1001455,989273,1128508,1183614.3,1344095.2,1420654.3,1300299,1328986,1239501,1227872,1195918,1315689,1473490,1496756,1359579,1467667,1517165,1264311,1422401,1566423,1615424,1389962,1397034,1456640
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,602.9024943,555.0547709,608,1303.152896,1073,1694,1957,1245,1714,1812,2262,3336,2774.3798,3168.4,3349.1,3484,3576,3755,3556,3573,4194,5310,5578,4816,5490,5888,5985,6763,6542,6657,5439,5468,5798
US Pacific Islands,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
United States Virgin Islands,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Uzbekistan, Rep. of",1,2.261496102,4,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,242,,,,1114,,1040,
Vanuatu,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Venezuela, Rep. Bolivariana de",3655,4490,5321,6862.525646,6114,6096,5416,3602,9647,7954,8566,13607,12607,9902.3,12174,6803,7071,6320,6114,5993,5997,3013,3845,2801,3238,1323,818,931,953,563,793,554,646
Vietnam,21,46.9867488,81,112.708195,306,238,248,199,419,1081,1368,1805,1976,2092.7,2512,2484,2805,2750,2637,2460,3020,3402,3534,3230,3529,3121,2247,2743,3183,3752,2674,2568,2795
Wallis and Futuna Islands,,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,0,,0,0,,0,0,0,0,1,1,,0.3,,25,,1,,0,,0,,0,,0,,,,0,,0,
Western Sahara,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
"Yemen, Rep. of",0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Zambia,5,4.148110962,5,1.742583,12,19,79,39,51,46,18,223,161.2882,142.5,410.5,689,708,838,795,885,913,880,674,501,372,354,257,287,374,732,606,546,604
Zimbabwe,88.34017217,64.94118741,61,68.156592,79,203,200,76,68,102,96,124,178,170.1,159,143,,84,,51,,72,,134,,15,,,,31,,31,
Not Specified (including Confidential),1275.165015,1201.780426,1385,1650.96195,2918,5929,11506,7691,13364,15275,16852,19910,122449.3,22449.6,178657,11,50744,8,50155,0,64767,0,85374,0,90456,0,111139,128696,154209,0,157645,0,149862
International Organizations,12360.06886,13644.60804,18640,20338.98255,21962,21911,24016,25637,48572,55057,52411,57041,58434.749,61829.1,20873.5,64510,24373,65739,26168,75339,41597,90563,40565,86182,36663,100852,43818,46610,49046,137758,56682,137108,41685
Total Value of Investment,2303603.466,2246033.854,3134244,3764346.397,4591122,5972356,7191779,4267865,5952867,6738006,6815650,7917764,8282806,9108797.8,10008738,9576214,10106773,9433088,9528585,9869968,11115479,12391814,12173972,11282286,12463725,13075093,12154312,14357736,15795870,16306739,13680775,14000387,14695814
